account_id,english_name,dealer_code,year,month,monthly_value,yearly_value
9501D,Other Mmscan Program Income,80475,2024,1,0,0
9502D,Other Mmscan Program Expense,80475,2024,1,0,0
3703G,Service Contracts (Cpo),80475,2024,1,0,0
6053DZ,Occupancy As A % Of Company Gp,80475,2024,1,0,0
6155DZ,Avail. Work Bay Hrs. / Bay,80475,2024,1,0,0
6158DZ,Avail. Work Bay Hrs. / Bay,80475,2024,1,0,0
6082DZ,Avg. Cost Uv Mit. Cpo Retailed,80475,2024,1,0,0
6083DZ,Avg. Cost Uv Mit. Cpo In Inventory,80475,2024,1,0,0
6164DZ,Efficiency (Guide 110 - 125%),80475,2024,1,0,0
6162DZ,Productivity (Guide 85% +),80475,2024,1,0,0
6114DZ,% Of Labour Sales Dcp,80475,2024,1,0,0
6009DZ,Tire Inventory Over 12 Mo'S (%),80475,2024,1,0,0
6093DZ,Uv Units Sold Per Nv & Uv Sales Rep.,80475,2024,1,0,0
6097DZ,Used Retail To Wholesale Ratio,80475,2024,1,0,0
6150DZ,% Of Labour Sales Dcp,80475,2024,1,0,0
6072DZ,Nv Units Sold Retail Per Nv Sales Rep.,80475,2024,1,0,0
6065DZ,Other,80475,2024,1,0,0
6098DZ,Avg. Cost Uv Mit. Cpo Retailed,80475,2024,1,0,0
6073DZ,Advertising Pnvr (Dealer Retail Sales),80475,2024,1,0,0
6133DZ,% Of Labour Sales Cpo Warranty,80475,2024,1,0,0
6074DZ,Advertising Pnvt (Dealer Target),80475,2024,1,0,0
6096DZ,Used To New Retail Ratio,80475,2024,1,0,0
6149DZ,% Of Labour Sales Warranty,80475,2024,1,0,0
6032DZ,Liquidity In Dollars,80475,2024,1,0,0
6081DZ,Used Retail To Wholesale Ratio,80475,2024,1,0,0
6132DZ,% Of Labour Sales Dcp,80475,2024,1,0,0
6022DZ,Sales $'S Per Wholesale Invoice,80475,2024,1,0,0
6019DZ,Cp Pts. : Cp Labour Sls. (Inc. Tires),80475,2024,1,0,0
6092DZ,Uv Units Sold Per Uv Sales Rep.,80475,2024,1,0,0
6161DZ,Total Bays Available,80475,2024,1,0,0
6046DZ,Profit Or Loss (Before Income Tax),80475,2024,1,0,0
6089DZ,Used Retail To Wholesale Ratio,80475,2024,1,0,0
6154DZ,Avail. Work Bay Hrs. / Bay,80475,2024,1,0,0
6115DZ,% Of Labour Sales Cpo Warranty,80475,2024,1,0,0
6108DZ,Bay Utilization %,80475,2024,1,0,0
6008DZ,Tire Inventory Over 12 Mo'S ($),80475,2024,1,0,0
6111DZ,Other,80475,2024,1,0,0
6033DZ,Nv Vehicle Equity Or (Conversion),80475,2024,1,0,0
46000U,Total Body Shop Dept. (Lines 30 Thru 35),80475,2024,1,0,0
6137DZ,Hours Sold Per Technician,80475,2024,1,0,0
6138DZ,Cp Labour Sales Per Technician,80475,2024,1,0,0
6139DZ,Cp Labour Sales Per Ro,80475,2024,1,0,0
6141DZ,Hours Per Cp Ro,80475,2024,1,0,0
6142DZ,Cp Effective Rate,80475,2024,1,0,0
6143DZ,Cp Effective Rate As A % Of Posted Rate,80475,2024,1,0,0
6148DZ,% Of Labour Sales Cp,80475,2024,1,0,0
6152DZ,% Of Labour Sales Internal,80475,2024,1,0,0
6020DZ,Warranty Pts. : Warranty Labour Sales,80475,2024,1,0,0
6021DZ,Sales $'S Per Retail Counter Invoice,80475,2024,1,0,0
6140DZ,Cp Ro Count,80475,2024,1,0,0
6144DZ,Bay Utilization %,80475,2024,1,0,0
6018DZ,Pts. Sls. Per Customer Ro (Inc. Tires),80475,2024,1,0,0
6017DZ,Gross Stock Turn,80475,2024,1,0,0
4400G,Less: Charge Backs - New,80475,2024,1,0,0
4750G,Less: Charge Backs - Used,80475,2024,1,0,0
4531G,Adjustments - Used Vehicles Inventory,80475,2024,1,0,0
6110G,Adjustment Cost Of Labour Sales - Mechanical,80475,2024,1,0,0
3060U,Total Mitsubishi Fleet,80475,2024,1,0,0
8724D,Fixed Oper. Advertising Co-Op Credit,80475,2024,1,0,0
1430D,New Vehicles - Other Makes,80475,2024,1,0,0
1285D,Warranty Receivables - Other,80475,2024,1,0,0
2560D,Drawings,80475,2024,1,0,0
