account_id,english_name,year,month,predicted_monthly_value
6097DZ,Used Retail to Wholesale Ratio,2025,1,0.031200000000000002
6097DZ,Used Retail to Wholesale Ratio,2025,2,0.057249999999999995
6097DZ,Used Retail to Wholesale Ratio,2025,3,0.006500000000000003
46000U,TOTAL BODY SHOP DEPT. (LINES 30 THRU 35),2025,1,0.0
46000U,TOTAL BODY SHOP DEPT. (LINES 30 THRU 35),2025,2,0.0
46000U,TOTAL BODY SHOP DEPT. (LINES 30 THRU 35),2025,3,0.0
6093DZ,UV Units Sold Per NV & UV Sales Rep.,2025,1,0.09144999999999996
6093DZ,UV Units Sold Per NV & UV Sales Rep.,2025,2,0.2720500000000002
6093DZ,UV Units Sold Per NV & UV Sales Rep.,2025,3,-0.0610999999999999
6129DZ,Missing Name,2025,1,85.05150000000002
6129DZ,Missing Name,2025,2,0.34715
6129DZ,Missing Name,2025,3,0.1509
1490VV,SUVs,2025,1,23256.685
1490VV,SUVs,2025,2,22796.22
1490VV,SUVs,2025,3,22722.575
1490VV,(SUVs),2025,1,0.165
1490VV,(SUVs),2025,2,0.0
1490VV,(SUVs),2025,3,0.0
50107SD,Active Customers,2025,1,2.9919
50107SD,Active Customers,2025,2,-4.00445
50107SD,Active Customers,2025,3,0.55005
50112SD,Avg. Technician Wage,2025,1,0.2685
50112SD,Avg. Technician Wage,2025,2,0.0
50112SD,Avg. Technician Wage,2025,3,0.01
50101SD,Number of Productive Bays,2025,1,0.1
50101SD,Number of Productive Bays,2025,2,0.14
50101SD,Number of Productive Bays,2025,3,0.2
8125D,Absentee Wages,2025,1,965.205
8125D,Absentee Wages,2025,2,202.48
8125D,Absentee Wages,2025,3,12.285
3060U,TOTAL MITSUBISHI FLEET,2025,1,18.67
3060U,TOTAL MITSUBISHI FLEET,2025,2,1223.82
3060U,TOTAL MITSUBISHI FLEET,2025,3,0.0
3026U,Outlander PHEV,2025,1,803.87
3026U,Outlander PHEV,2025,2,2.96
3026U,Outlander PHEV,2025,3,4.61
8121D,Absentee Wages,2025,1,651.14
8121D,Absentee Wages,2025,2,133.725
8121D,Absentee Wages,2025,3,0.0
8122D,Absentee Wages,2025,1,244.5
8122D,Absentee Wages,2025,2,83.78
8122D,Absentee Wages,2025,3,0.0
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,-145.16
