account_id,english_name,year,month,monthly_value,type
6097DZ,Used Retail to Wholesale Ratio,2022,1,0.0,historical
46000U,TOTAL BODY SHOP DEPT. (LINES 30 THRU 35),2022,1,0.0,historical
6093DZ,UV Units Sold Per NV & UV Sales Rep.,2022,1,0.0,historical
6129DZ,Missing Name,2022,1,0.0,historical
1490VV,SUVs,2022,1,0.0,historical
50107SD,Active Customers,2022,1,0.0,historical
50112SD,Avg. Technician Wage,2022,1,0.0,historical
50101SD,Number of Productive Bays,2022,1,0.0,historical
8125D,Absentee Wages,2022,1,0.0,historical
3060U,TOTAL MITSUBISHI FLEET,2022,1,0.0,historical
3026U,Outlander PHEV,2022,1,0.0,historical
8121D,Absentee Wages,2022,1,0.0,historical
8122D,Absentee Wages,2022,1,0.0,historical
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2022,1,0.0,historical
6460U,Adjustment - Cost of Labour Sales Body Shop,2022,1,0.0,historical
6460G,Adjustment - Cost of Labour Sales Body Shop,2022,1,0.0,historical
6110G,Adjustment Cost of Labour Sales - Mechanical,2022,1,0.0,historical
6110U,Adjustment Cost of Labour Sales - Mechanical,2022,1,0.0,historical
4531G,Adjustments - Used Vehicles Inventory,2022,1,0.0,historical
8005D,Advertising (Institutional),2022,1,0.0,historical
0983P,Advisors,2022,1,0.0,historical
0991P,Advisors,2022,1,0.0,historical
2320XD,Allowance for Doubtful Accounts,2022,1,0.0,historical
8432D,Amortization - Leaseholds,2022,1,0.0,historical
8431D,Amortization - Leaseholds,2022,1,0.0,historical
8434D,Amortization - Leaseholds,2022,1,0.0,historical
8435D,Amortization - Leaseholds,2022,1,0.0,historical
0985P,Apprentices,2022,1,0.0,historical
0993P,Apprentices,2022,1,0.0,historical
392DU,APR.,2022,1,0.0,historical
391DU,APR.,2022,1,0.0,historical
396DU,APR.,2022,1,0.0,historical
395HU,AUG.,2022,1,0.0,historical
391HU,AUG.,2022,1,0.0,historical
392HU,AUG.,2022,1,0.0,historical
8254D,Bad Debts,2022,1,0.0,historical
8251D,Bad Debts,2022,1,0.0,historical
8252D,Bad Debts,2022,1,0.0,historical
8255D,Bad Debts,2022,1,0.0,historical
5210G,Body P&A RO,2022,1,0.0,historical
5210S,Body P&A RO,2022,1,0.0,historical
M18000ED,Body Shop,2022,1,0.0,historical
5450S,Body Shop Materials,2022,1,0.0,historical
8501D,Bonuses - Employees,2022,1,0.0,historical
8504D,Bonuses - Employees,2022,1,0.0,historical
8505D,Bonuses - Employees,2022,1,0.0,historical
8502D,Bonuses - Employees,2022,1,0.0,historical
8345D,Charitable Donations,2022,1,0.0,historical
8342D,Charitable Donations,2022,1,0.0,historical
8341D,Charitable Donations,2022,1,0.0,historical
8344D,Charitable Donations,2022,1,0.0,historical
3704S,Chemical / Other Income (CPO),2022,1,0.0,historical
3704G,Chemical / Other Income (CPO),2022,1,0.0,historical
3630G,Chemical / Other Income (Non CPO),2022,1,0.0,historical
3630S,Chemical / Other Income (Non CPO),2022,1,0.0,historical
3708S,Chemical / Other Income (Other Makes),2022,1,0.0,historical
3708G,Chemical / Other Income (Other Makes),2022,1,0.0,historical
8662D,Company Vehicle Expense,2022,1,0.0,historical
8665D,Company Vehicle Expense,2022,1,0.0,historical
8661D,Company Vehicle Expense,2022,1,0.0,historical
8664D,Company Vehicle Expense,2022,1,0.0,historical
8105D,Compensation - Clerical,2022,1,0.0,historical
8640D,Compensation - Insurance,2022,1,0.0,historical
8641D,Compensation - Insurance,2022,1,0.0,historical
8642D,Compensation - Insurance,2022,1,0.0,historical
8174D,Compensation - Other Supervisor,2022,1,0.0,historical
8175D,Compensation - Other Supervisor,2022,1,0.0,historical
8171D,Compensation - Other Supervisor,2022,1,0.0,historical
8172D,Compensation - Other Supervisor,2022,1,0.0,historical
8085D,Compensation - Owner,2022,1,0.0,historical
